hrmin,time,s1,s2,s3,s6,s8
800,0,317.143,59.354,324.131,61.5027,307.026
800,1,317.143,59.354,324.131,61.5027,307.418
800,2,317.143,59.354,324.911,61.5027,307.418
800,3,317.143,59.354,324.521,61.5027,307.026
800,4,317.143,59.354,324.911,61.5027,307.026
800,5,317.143,59.354,324.911,61.5027,306.633
800,6,316.2,59.354,324.911,61.5027,306.633
800,7,317.143,59.354,325.691,61.5027,306.633
800,8,316.672,59.354,325.691,61.5027,307.026
800,9,316.2,59.354,325.691,61.5027,306.633
800,10,316.2,59.354,325.691,61.5027,306.633
800,11,316.2,59.354,325.691,62.2305,306.633
800,12,316.2,59.354,325.691,61.8666,306.241
800,13,316.2,59.354,325.69,62.2305,305.849
800,14,316.2,59.354,326.471,62.2305,305.849
800,15,316.2,59.354,326.08,62.2305,305.849
800,16,316.2,59.354,326.471,62.2305,305.065
800,17,316.2,59.3536,326.471,62.2305,305.065
800,18,316.2,59.3536,326.471,62.2305,305.065
800,19,316.2,59.3536,326.471,62.2305,305.065
800,20,316.2,59.3536,326.471,62.2305,305.065
800,21,316.2,59.3536,326.471,62.2305,305.065
800,22,315.728,59.3536,326.471,62.2305,305.065
800,23,315.256,58.9443,326.471,62.2305,305.065
800,24,315.256,59.3536,326.471,62.2305,305.065
800,25,315.256,58.9443,325.69,62.2305,304.673
800,26,315.256,58.9443,325.69,62.2305,305.065
800,27,315.256,58.9443,325.69,62.2305,305.065
800,28,315.256,59.3536,324.91,62.2305,305.849
800,29,315.256,59.3536,325.3,62.2305,305.845
800,30,315.256,58.9443,324.91,62.2305,306.629
800,31,314.784,58.9443,324.91,62.2305,306.629
800,32,314.784,58.9443,324.91,62.2305,307.413
800,33,315.256,58.9443,324.91,62.2305,307.413
800,34,314.312,59.3536,324.91,62.2305,307.413
800,35,314.784,59.3536,324.13,62.2305,307.806
800,36,315.256,59.3536,324.52,62.2305,308.982
800,37,315.256,59.3536,324.13,62.2305,308.59
800,38,315.256,59.3536,324.52,62.2305,308.59
800,39,315.256,59.3536,324.13,62.2305,308.982
800,40,315.256,59.3536,324.91,62.2305,308.982
800,41,315.728,59.3536,324.52,62.2305,309.374
800,42,316.2,59.3536,324.91,62.2305,309.374
800,43,316.2,59.3536,324.91,62.2305,309.766
800,44,316.2,59.763,325.69,62.2305,309.766
800,45,317.143,59.763,325.69,62.2305,310.158
800,46,317.143,59.763,325.69,62.2305,310.158
800,47,317.143,59.3536,325.69,62.2305,309.766
800,48,317.143,59.763,325.69,62.2305,310.158
800,49,318.086,59.763,326.08,62.2305,310.55
800,50,318.086,59.763,326.471,62.2305,310.55
800,51,318.086,59.763,326.471,62.5944,310.55
800,52,318.086,59.763,326.471,62.9583,310.55
800,53,319.029,59.763,326.861,62.9583,310.943
800,54,319.029,59.763,327.251,62.9583,310.55
800,55,319.029,59.763,327.251,62.9583,310.55
800,56,319.029,59.763,327.251,62.9583,310.55
800,57,319.973,59.763,327.641,62.9583,311.335
800,58,319.973,59.763,328.031,62.9583,310.55
800,59,319.973,59.763,328.031,62.9583,310.55
801,60,320.445,59.763,328.031,62.9583,310.55
801,61,320.917,59.763,328.811,62.9583,310.55
801,62,320.917,59.763,328.811,62.9583,310.943
801,63,320.917,59.763,328.811,62.9583,310.55
801,64,320.917,59.763,328.811,62.9583,310.55
801,65,320.917,59.763,328.811,62.9583,310.158
801,66,320.445,59.763,329.591,63.3223,309.766
801,67,320.445,59.763,329.591,63.3223,309.374
801,68,320.917,59.763,329.591,63.6862,309.766
801,69,320.445,59.763,329.591,63.6862,308.982
801,70,320.445,59.763,329.591,63.6862,308.59
801,71,320.445,59.763,329.591,63.6862,308.982
801,72,319.973,59.763,329.591,63.6862,308.59
801,73,320.445,59.763,329.591,63.6862,308.198
801,74,320.445,59.763,329.201,63.6862,307.806
801,75,319.973,59.763,328.811,63.6862,307.806
801,76,319.501,59.763,328.811,63.6862,307.806
801,77,319.029,59.763,328.811,63.6862,307.806
801,78,319.029,59.763,328.811,63.6862,307.413
801,79,319.029,59.763,328.421,63.6862,307.413
801,80,318.558,59.763,328.421,63.6862,307.021
801,81,318.086,59.763,328.028,63.6857,307.413
801,82,318.086,59.763,328.028,63.6857,307.413
801,83,317.614,59.763,327.248,63.6857,307.413
801,84,317.614,59.763,328.028,63.6857,307.413
801,85,317.142,59.7623,327.248,63.6857,308.198
801,86,317.142,59.7623,328.028,63.6857,308.198
801,87,317.142,59.7623,328.028,63.6857,308.198
801,88,317.142,59.353,328.028,63.6857,308.59
801,89,316.67,59.353,328.028,63.6857,308.59
801,90,316.198,59.353,328.028,64.0497,308.198
801,91,316.67,59.353,328.418,64.4136,308.59
